Actual Class\Predicted Class;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;Total
0;358;0;0;1;0;0;0;1;0;6;0;6;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;18;0;0;0;0;0;0;1;0;0;0;0;0;1;3;0;0;398
1;1;188;1;3;0;0;0;0;0;2;1;1;0;0;1;0;0;0;0;0;0;0;0;79;19;0;3;1;4;1;2;0;1;0;0;5;0;0;1;0;0;0;2;0;0;12;21;37;9;395
2;1;0;280;10;0;0;0;1;0;2;4;1;6;3;5;0;0;0;0;8;1;5;3;0;2;1;1;12;1;10;7;0;1;2;0;6;0;10;1;0;0;1;0;1;7;0;0;0;6;399
3;0;4;7;327;0;0;0;0;0;0;0;1;2;3;2;0;0;0;0;0;3;0;2;0;8;0;0;5;4;4;0;0;0;0;2;10;0;0;3;0;0;0;0;0;0;2;0;1;9;399
4;1;0;2;0;357;0;0;0;0;0;0;0;3;3;0;0;0;0;0;0;1;1;0;0;1;0;0;1;2;0;0;0;1;10;0;0;0;6;0;0;0;2;3;1;4;0;1;0;0;400
5;0;0;0;0;0;376;15;7;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;400
6;0;0;0;1;0;46;305;38;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;400
7;1;0;2;0;2;1;11;268;13;1;0;1;24;1;3;0;1;1;3;2;1;0;2;2;1;2;1;2;1;2;8;0;8;10;0;1;0;0;7;2;0;0;0;0;1;3;5;3;3;400
8;0;1;0;0;0;4;0;3;349;0;0;0;1;0;0;0;1;2;4;0;0;0;0;0;0;1;0;2;0;1;6;12;2;5;0;0;1;3;0;0;0;0;0;0;0;0;2;0;0;400
9;12;4;0;1;0;0;0;4;1;316;1;3;12;1;6;0;0;0;0;0;1;0;2;0;3;0;4;1;2;3;2;0;14;0;0;3;0;0;0;0;0;0;0;0;0;1;0;1;1;399
10;2;0;8;1;0;0;0;0;1;2;367;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;2;0;0;1;1;0;0;0;0;0;0;0;0;1;2;0;0;397
11;16;1;1;2;0;0;0;1;0;9;4;326;2;2;1;0;0;0;0;0;0;0;2;0;1;0;4;2;2;3;1;0;10;0;0;5;0;0;0;0;0;0;0;0;0;0;4;0;0;399
12;2;3;9;2;4;1;1;12;1;4;1;0;231;15;18;1;0;1;0;1;0;0;0;0;3;0;1;3;4;1;45;0;5;0;1;1;6;8;1;0;0;0;0;0;3;0;1;0;10;400
13;0;1;8;3;7;0;0;2;1;1;0;0;8;268;3;0;0;0;0;0;6;0;18;0;2;0;0;35;0;4;6;0;0;3;1;0;0;13;4;0;0;1;2;0;3;0;0;0;0;400
